r,V(r)
0.00033546262790251185,-11921.832283592032
0.0003388340833634261,-11803.18817673149
0.0003422394225150394,-11685.7245985263
0.00034567898589410494,-11569.429802520743
0.0003491531174598264,-11454.292159138327
0.00035266216462825575,-11340.300154518754
0.00035620647830703403,-11227.442389366568
0.00035978641293048306,-11115.707577811198
0.0003634023264950478,-11005.084546278391
0.0003670545805950984,-10895.562232372802
0.0003707435404590882,-10787.129683771767
0.00037446957498607833,-10679.776057130057
0.00037823305678262576,-10573.490616995568
0.0003820343622000467,-10468.262734735697
0.00038587387137205064,-10364.081887474538
0.0003897519682527548,-10260.937657040533
0.0003936690406550783,-10158.8197289247
0.00039762548028952584,-10057.717891249124
0.0004016216828033581,-9957.622033745782
0.00040565804782015684,-9858.522146745501
0.0004097349789797868,-9760.408320177019
0.00041385288397876164,-9663.270742575904
0.0004180121746110129,-9567.099700103448
0.00042221326680907034,-9471.885575575252
0.00042645658068565383,-9377.618847499536
0.00043074254057568753,-9284.290089124928
0.0004350715750787321,-9191.889967497813
0.00043944411710184546,-9100.409242529031
0.000443860603902874,-9009.838766069839
0.00044832147713417755,-8920.169480997134
0.00045282718288679695,-8831.392420307675
0.0004573781717350623,-8743.498706221411
0.0004619748987816513,-8656.479549293681
0.0004666178237030984,-8570.32624753629
0.00047130741079576537,-8485.030185547257
0.00047604412902226933,-8400.582833649309
0.00048082845205838073,-8316.97574703687
0.0004856608583403892,-8234.200564931623
0.0004905418311129505,-8152.249009746367
0.0004954718584774093,-8071.112886257292
0.0005004514334406108,-7990.7840807844295
0.0005054810539642003,-7911.254560380301
0.0005105612230144218,-7832.516372026586
0.0005156924486124138,-7754.5616418388345
0.0005208752438850126,-7677.382574279056
0.0005261101271160638,-7600.97145137619
0.0005313976217982529,-7525.320631954267
0.0005367382566854548,-7450.422550868298
0.000542132565845609,-7376.269718247754
0.0005475810887141261,-7302.854718747589
0.0005530843701478336,-7230.170210806669
0.0005586429604794611,-7158.208925913628
0.0005642574155726738,-7086.963667880008
0.0005699282968776604,-7016.427312120626
0.0005756561714872761,-6946.59280494114
0.0005814416121937556,-6877.453162832629
0.0005872851975459913,-6809.001471773256
0.000593187511907387,-6741.230886536887
0.0005991491455142981,-6674.134630008513
0.0006051706945350532,-6607.705992506568
0.0006112527611295723,-6541.938331111945
0.000617395953509584,-6476.82506900369
0.0006236008859994445,-6412.359694801341
0.000629868179097574,-6348.535761913751
0.0006361984595385052,-6285.346887894444
0.0006425923603555579,-6222.786753803354
0.0006490505209441411,-6160.849103574947
0.0006555735871256958,-6099.527743392581
0.0006621622112122764,-6038.8165410691345
0.0006688170520717824,-5978.709425433776
0.0006755387751938444,-5919.200385724864
0.0006823280527563766,-5860.283470988827
0.0006891855636927931,-5801.952789485095
0.0006961119937599026,-5744.202508096903
0.0007031080356064829,-5687.026851747996
0.000710174388842549,-5630.420102825085
0.0007173117601093135,-5574.376600606105
